experiment, dataset, trainingset, accuracy, loss, n, stddev
0.03, gan, mnist, 0.30051509, 136.534346, 5, 0.0107702413121898
0.03, mnist+font, font, 0.80412, 37.210855683999995, 5, 0.3764004476617955
0.03, mnist+font, gan, 0.9958199999999999, 0.0701267106, 5, 0.0003193743884534276
0.03, mnist+font, mnist+gan, 0.10073074600000001, 94.1886242, 5, 0.001940899942611671
0.03, mnist+font, mnist, 0.6686314259999999, 33.4979356, 5, 0.0011116780354850982
0.03, mnist+gan, font, 0.93286, 7.34819154, 5, 0.020114372970589954
0.03, mnist+gan, gan, 0.47202, 109.62992, 5, 0.019253882725310246
0.03, mnist+gan, mnist+gan, 0.6588720200000001, 3.2786160599999996, 5, 0.005617389175319784
0.03, mnist+gan, mnist, 0.83197494, 6.9696619, 5, 0.0020716234558915687
0.03, mnist, font, 0.9665799999999999, 2.2086227060000008, 5, 0.022534351554903895
0.03, mnist, gan, 0.64916, 11.2498841, 5, 0.008206278084491165
0.03, mnist, mnist+gan, 0.09881956280000001, 86.84215800000001, 5, 0.0011289000254217378
0.03, mnist, mnist, 0.6713698939999999, 30.791230000000002, 5, 0.0007439842722665636
0.04, font, font, 0.8689399999999999, 6.033701884, 5, 0.061494455034580134
0.04, font, gan, 0.9955, 0.0746523242, 5, 0.00032403703492041725
0.04, font, mnist+gan, 0.095324626, 137.35224, 5, 0.0008528384288539083
0.04, font, mnist, 0.5813518400000001, 52.4999236, 5, 0.007441363312041691
0.04, gan, font, 0.24419999999999997, 188.50132408, 5, 0.32454599828067515
0.04, gan, gan, 0.09472, 317.646732, 5, 0.021527122427300868
0.04, gan, mnist+gan, 0.545561242, 5.49301308, 5, 0.006129803358054822
0.04, gan, mnist, 0.253510432, 155.39098800000002, 5, 0.010339586010683402
0.04, mnist+font, font, 0.7987399999999999, 48.442626833999995, 5, 0.39111646347347745
0.04, mnist+font, gan, 0.9956600000000002, 0.065132956, 5, 0.00021908902300207524
0.04, mnist+font, mnist+gan, 0.10024607300000002, 130.103751, 5, 0.004201987822137877
0.04, mnist+font, mnist, 0.671569722, 45.486813999999995, 5, 0.0025999091098382605
0.04, mnist+gan, font, 0.9426599999999998, 7.573566928, 5, 0.016803065196564614
0.04, mnist+gan, gan, 0.5761000000000001, 110.13043540000001, 5, 0.024686332250863
0.04, mnist+gan, mnist+gan, 0.55309483, 4.6184287600000005, 5, 0.004593833383003783
0.04, mnist+gan, mnist, 0.803271592, 7.783566260000001, 5, 0.0023820567233632274
0.04, mnist, font, 0.9696, 2.390709322, 5, 0.01862323817170365
0.04, mnist, gan, 0.7165, 9.800216599999999, 5, 0.0109922700112397
0.04, mnist, mnist+gan, 0.103426083, 103.480548, 5, 0.00028706606960767893
0.04, mnist, mnist, 0.67541712, 36.1558968, 5, 0.0005640027781846731
0.05, font, font, 0.87456, 5.66438313, 5, 0.05740494752196885
0.05, font, gan, 0.9956799999999999, 0.07061782600000001, 5, 0.00028635642126553237
0.05, font, mnist+gan, 0.08274674800000001, 154.43164800000002, 5, 0.0004801020174608716
0.05, font, mnist, 0.5849225259999999, 58.0265932, 5, 0.0056877104285186905
0.05, gan, font, 0.24139999999999998, 164.10517132, 5, 0.33538672454347385
0.05, gan, gan, 0.10364, 256.340554, 5, 0.010886137974506844
0.05, gan, mnist+gan, 0.6228385519999999, 2.83316678, 5, 0.00244730574732093
0.05, gan, mnist, 0.275137904, 136.80299399999998, 5, 0.00968864570942347
0.05, mnist+font, font, 0.80228, 45.499693764, 5, 0.39230933840529464
0.05, mnist+font, gan, 0.9954600000000001, 0.06663050079999999, 5, 0.000364691650576224
0.05, mnist+font, mnist+gan, 0.030642693399999997, 135.556232, 5, 0.0008489808818290916
0.05, mnist+font, mnist, 0.6518255839999999, 47.3302614, 5, 0.001946922328170789
0.05, mnist+gan, font, 0.9448599999999999, 6.684408452, 5, 0.015450663416177316
0.05, mnist+gan, gan, 0.53592, 113.8467852, 5, 0.028140131485122812
0.05, mnist+gan, mnist+gan, 0.6241392320000001, 2.7352111, 5, 0.004287769813617563
0.05, mnist+gan, mnist, 0.830706612, 6.16690852, 5, 0.002743574936414186
