experiment, dataset, trainingset, accuracy, loss
0.1, mnist+gan, gan, 0.79694, 1.5154378599999998
0.1, mnist+gan, mnist+gan, 0.9915606739999999, 0.025919853399999998
0.1, mnist+gan, mnist, 0.9756303, 0.11509017399999999
0.1, mnist, font, 0.9771599999999999, 0.08348920400000001
0.1, mnist, gan, 0.6832, 1.48388228
0.1, mnist, mnist+gan, 0.8069452799999999, 1.4798775999999998
0.1, mnist, mnist, 0.92219622, 0.53675876
0.2, font, font, 0.85964, 1.530446278
0.2, font, gan, 0.9950199999999999, 0.0190447818
0.2, font, mnist+gan, 0.7947762780000001, 2.37042592
0.2, font, mnist, 0.820662388, 2.0093705999999996
0.2, gan, font, 0.8453199999999998, 1.32326448
0.2, gan, gan, 0.66354, 3.17543866
0.2, gan, mnist+gan, 0.9976833939999998, 0.007345540540000001
0.2, gan, mnist, 0.890994926, 0.8756356399999999
0.2, mnist+gan, font, 0.95114, 0.35134345199999995
0.2, mnist+gan, gan, 0.7938599999999999, 1.3505109599999998
0.2, mnist+gan, mnist+gan, 0.9963661199999999, 0.0106699586
0.2, mnist+gan, mnist, 0.984905912, 0.07304957
0.2, mnist, font, 0.98392, 0.060347260599999994
0.2, mnist, gan, 0.7362599999999999, 1.38339046
0.2, mnist, mnist+gan, 0.8818987159999999, 0.8494752199999999
0.2, mnist, mnist, 0.9534819240000001, 0.296923016
0.3, font, font, 0.8652199999999999, 1.45888281
0.3, font, gan, 0.99506, 0.018627073400000003
0.3, font, mnist+gan, 0.7888888800000001, 2.4451530200000002
0.3, font, mnist, 0.821931856, 2.0038632000000005
0.3, gan, font, 0.8592000000000001, 1.2051956799999999
0.3, gan, gan, 0.6968, 2.54586416
0.3, gan, mnist+gan, 0.99397717, 0.025188356000000002
0.3, gan, mnist, 0.90333524, 0.721363596
0.3, mnist+gan, font, 0.9625199999999999, 0.23126923240000002
0.3, mnist+gan, gan, 0.81508, 1.073767608
0.3, mnist+gan, mnist+gan, 0.9922118359999998, 0.030010182799999997
0.3, mnist+gan, mnist, 0.98603811, 0.0631687812
0.3, mnist, font, 0.9873999999999998, 0.044504865399999996
0.3, mnist, gan, 0.7305400000000001, 1.56409718
0.3, mnist, mnist+gan, 0.862045692, 0.99524647
0.3, mnist, mnist, 0.9533641380000001, 0.305507764
