experiment; dataset; trainingset; accuracy; loss; n; stddev
0,003; mnist+font; mnist; 0,646234168; 41,2197526; 5; 0,0017188782976464687
0,003; mnist+gan; font; 0,6605599999999999; 59,4348966; 5; 0,14834417076515008
0,003; mnist+gan; gan; 0,23902; 237,88062400000004; 5; 0,018044722220084197
0,003; mnist+gan; mnist+gan; 0,395057726; 6,097733740000001; 5; 0,0035507236536416117
0,003; mnist+gan; mnist; 0,5270937800000001; 50,1998856; 5; 0,021318368664936586
0,003; mnist; font; 0,83986; 14,74207078; 5; 0,14615366228733373
0,003; mnist; gan; 0,48747999999999997; 13,4856478; 5; 0,009769186250655674
0,003; mnist; mnist+gan; 0,09195867919999999; 44,592540400000004; 5; 0,0024094356899766424
0,003; mnist; mnist; 0,635750152; 16,0199027; 5; 0,0021669907326797703
0,005; font; font; 0,85318; 5,97038202; 5; 0,02761045091989624
0,005; font; gan; 0,9958; 0,064246601; 5; 0,00036055512754639774
0,005; font; mnist+gan; 0,1020698028; 123,84380500000002; 5; 0,00113889796940692
0,005; font; mnist; 0,598888002; 45,8860592; 5; 0,006720800310195195
0,005; gan; font; 0,25229999999999997; 157,17436432; 5; 0,3358856873997461
0,005; gan; gan; 0,10185999999999999; 232,758144; 5; 0,01034712520461601
0,005; gan; mnist+gan; 0,6722808359999999; 4,82759684; 5; 0,003552584261503154
0,005; gan; mnist; 0,2889469459999999; 132,97775000000001; 5; 0,0052496197131106535
0,005; mnist+font; font; 0,77088; 42,58885138; 5; 0,3796816982684311
0,005; mnist+font; gan; 0,9960799999999999; 0,0647085618; 5; 0,00038340579025360444
0,005; mnist+font; mnist+gan; 0,100040584; 144,54183399999997; 5; 0,0011298237658944838
0,005; mnist+font; mnist; 0,6631698939999999; 49,396; 5; 0,0015975017325123866
0,005; mnist+gan; font; 0,71946; 32,13288756; 5; 0,12409292082951387
0,005; mnist+gan; gan; 0,27446; 149,745036; 5; 0,013361811254466963
0,005; mnist+gan; mnist+gan; 0,67029222; 4,8158784599999995; 5; 0,004657060943556551
0,005; mnist+gan; mnist; 0,66394696; 28,7063844; 5; 0,008049248933472
